date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:27	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2006%20Jul%202022%2010:36:26%20GMT	https://www.avax.network/robots.txt		(from )
11:36:27	83438/83438	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2010:36:26%20GMT	https://www.avax.network/	C:/My%20Web%20Sites/Avalanche/www.avax.network/index.html	(from )
11:36:28	269594/269594	---M-Z	200	added ('OK')	text/css	etag:%22385548ac37c1d4a6aedb907935b0218a%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/css/avax-20210101.057aa2101.min.css	C:/My%20Web%20Sites/Avalanche/assets.website-files.com/6059b554e81c705f9dd2dd32/css/avax-20210101.057aa2101.min.css	(from https://www.avax.network/)
11:36:28	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Avalanche/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.avax.network/)
11:36:28	3052/3052	---M--	200	added ('OK')	image/png	etag:%229055d96e5001b3bf5434311a3782d257%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/60ec67501576936ca3f767ab_AVAX_Token_Red_32.png	C:/My%20Web%20Sites/Avalanche/assets.website-files.com/6059b554e81c705f9dd2dd32/60ec67501576936ca3f767ab_AVAX_Token_Red_32.png	(from https://www.avax.network/)
11:36:29	23228/23228	---M--	200	added ('OK')	image/png	etag:%22e77526ffb69ab79f64738e5fe019f2d1%22	https://assets.website-files.com/6059b554e81c705f9dd2dd32/60ec6734b3013629d0a73ae1_AVAX_Token_Red_256.png	C:/My%20Web%20Sites/Avalanche/assets.website-files.com/6059b554e81c705f9dd2dd32/60ec6734b3013629d0a73ae1_AVAX_Token_Red_256.png	(from https://www.avax.network/)
11:36:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2006%20Jul%202022%2010:36:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Avalanche/www.googletagmanager.com/gtm.45445.delayed	(from https://www.avax.network/)
11:36:30	69244/69244	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2010:36:29%20GMT	https://www.avax.network/subnets	C:/My%20Web%20Sites/Avalanche/www.avax.network/subnets.html	(from https://www.avax.network/)
11:36:30	82647/82647	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2010:36:29%20GMT	https://www.avax.network/developers	C:/My%20Web%20Sites/Avalanche/www.avax.network/developers.html	(from https://www.avax.network/)
11:36:30	58651/58651	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2010:36:29%20GMT	https://www.avax.network/validators	C:/My%20Web%20Sites/Avalanche/www.avax.network/validators.html	(from https://www.avax.network/)
